kode,nama,nama_latin,asal,kategori,tipe,keterangan,air_g,energi_kal,protein_g,lemak_g,karbo_g,serat_g,abu_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,b_kar_mcg,kar_total_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vit_c_mg,status_energi,status_protein,status_kalsium,status_besi,skor_gizi_anak
BR010,"Gembili, ubi, segar (Lesser yam, fresh)",Dioscorea esculenta,-,Umbi Berpati,Mentah (Raw),-,66.4,131.0,1.1,0.2,31.3,1.1,1.0,14.0,56.0,0.6,10.0,200.0,0.2,0.3,0.0,0.0,0.0,0.08,0.0,0.9,4.0,Kurang,Kurang,Kurang,Kurang,0.0433
AP048,Gemblong,-,-,Serealia,Olahan (Processed),"Bahan dasar terdiri dari beras ketan, kelapa, gula merah",36.2,274.0,1.7,5.4,55.5,2.2,1.2,69.0,55.0,3.3,29.0,201.0,0.2,0.7,0.0,0.0,0.0,0.0,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.1064
AP049,Gendar goreng,-,-,Serealia,Olahan (Processed),Kerupuk dari nasi/beras,30.4,407.0,6.4,28.2,32.0,0.1,3.0,216.0,62.0,1.6,29.0,201.0,0.2,0.7,0.0,2.0,184.0,0.16,0.0,0.6,0.0,Kurang,Kurang,Kurang,Kurang,0.1928
DR084,"Genjer, segar (Sawah lettuce, fresh)",Limnocharis flava,-,Sayuran,Mentah (Raw),-,90.0,35.0,1.7,0.2,7.7,2.5,0.4,62.0,33.0,2.1,64.0,905.8,0.2,0.7,0.0,2.0,3.0,0.07,0.1,1.1,54.0,Kurang,Kurang,Kurang,Kurang,0.0347
CP029,Geplak,-,Yogyakarta,Kacang-Kacangan,Olahan (Processed),Parutan kelapa kasar dengan gula pasir,29.6,350.0,1.4,14.4,53.6,1.8,1.0,151.0,43.0,2.1,29.0,201.0,0.2,0.7,0.0,2.0,120.0,0.12,0.02,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.1446
CP030,Geplak jahe,-,Yogyakarta,Kacang-Kacangan,Olahan (Processed),Parutan kelapa kasar dengan gula pasir dan jahe,12.4,462.0,3.1,24.4,57.7,3.3,2.5,212.0,161.0,6.6,29.0,201.0,0.2,0.7,0.0,2.0,272.0,0.12,0.0,0.1,0.0,Kurang,Kurang,Kurang,Cukup,0.209
GP062,"Gete kuah asam, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,80.1,75.0,8.2,2.0,6.0,1.4,3.8,1.0,880.0,0.8,260.0,150.0,0.1,1.5,0.0,2.0,4.0,0.1,0.1,0.1,0.0,Kurang,Kurang,Kurang,Kurang,0.0487
BP028,Getuk goreng,-,"Sokaraja, Purwokerto",Umbi Berpati,Olahan (Processed),Bahan dasar terdiri dari Singkong dan dibumbui gula kelapa,16.5,360.0,1.3,6.4,74.3,0.8,1.5,59.0,81.0,3.2,29.0,201.0,0.2,0.7,0.0,0.0,0.0,0.21,0.1,0.1,0.0,Kurang,Kurang,Kurang,Kurang,0.1263
EP003,Getuk pisang,-,-,Buah,Olahan (Processed),-,63.7,144.0,1.1,0.4,34.1,0.4,0.7,48.0,32.0,1.0,29.0,201.0,0.2,0.7,0.0,2.0,1.0,0.55,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0567
BP029,Getuk singkong,-,-,Umbi Berpati,Olahan (Processed),Singkong rebus yang ditumbuk dicampur kelapa dan gula merah,49.8,204.0,0.5,1.4,47.4,0.8,1.1,97.0,52.0,1.5,29.0,201.0,0.2,0.7,0.0,2.0,208.0,0.08,0.1,0.1,0.0,Kurang,Kurang,Kurang,Kurang,0.0853
DP032,"Gudeg, sayur",-,Jogja,Sayuran,Olahan (Processed),Bahan dasar terdiri dari nangka muda dan santan. Direbus dalam waktu yang lama,69.2,160.0,3.3,9.2,16.0,2.3,2.1,62.0,55.0,12.8,29.0,201.0,0.2,0.7,0.0,2.0,166.0,0.15,0.1,0.8,0.0,Kurang,Kurang,Kurang,Lebih,0.1028
MP005,"Gula aren (Sugar, palm)",Arenga pinnata,-,Konfeksioneri,Olahan (Processed),-,7.0,368.0,0.0,0.0,92.0,0.0,1.0,75.0,35.0,3.0,15.0,390.4,0.04,26.4,0.0,0.0,4.0,0.0,0.01,0.5,0.0,Kurang,Kurang,Kurang,Kurang,0.1277
MP006,Gula kelapa,-,-,Konfeksioneri,Olahan (Processed),-,10.0,386.0,3.0,10.0,76.0,0.0,1.0,76.0,37.0,2.6,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.34,0.5,0.0,Kurang,Kurang,Kurang,Kurang,0.1421
MP007,Gula putih (Sugar cane),Saccharum offisinarum,-,Konfeksioneri,Olahan (Processed),-,5.4,394.0,0.0,0.0,94.0,0.0,0.6,5.0,1.0,0.1,1.0,4.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Kurang,Kurang,Kurang,Kurang,0.1095
GP063,"Gulai asam keueung, masakan",-,Aceh,Ikan/Kerang/Udang dll,Olahan (Processed),"Ikan yang dimasak dengan asam kanti, biasanya ikan kakap, ikan bandeng, tongkol, patin, dan kembung",86.0,52.0,10.0,0.5,1.8,1.4,1.7,62.0,102.0,0.3,332.0,141.0,0.0,1.0,0.0,2.0,4.0,0.18,0.34,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.0627
GP064,"Gulai ikan paya, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,72.1,148.0,10.0,9.8,5.0,1.4,3.1,103.0,82.0,0.7,525.0,256.0,0.1,0.9,0.0,2.0,4.0,0.26,0.02,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.1011
GP065,"Gulai ikan, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,75.7,106.0,16.5,3.3,2.5,1.4,2.0,306.0,196.0,4.8,743.0,201.0,0.2,0.7,86.0,2.0,2.0,0.32,0.1,0.8,0.0,Kurang,Cukup,Cukup,Cukup,0.1741
FP047,Gulai kambing,-,-,Daging,Olahan (Processed),-,78.4,126.0,4.2,9.4,6.2,1.4,1.8,45.0,73.0,1.3,302.0,138.0,0.2,1.1,151.0,2.0,4.0,0.13,0.01,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0621
GP066,"Gulai keumamah, masakan",-,Aceh,Ikan/Kerang/Udang dll,Olahan (Processed),"Keumamah atau katshibushi atau ikan kayu (jenis ikan: tongkol/tuna/cakalang). Ikan direbus, dikeringkan beberapa hari hingga mengeras, lalu diiris kecil-kecil. Keumamah dimasak dengan santan",81.4,110.0,5.9,8.2,3.2,1.4,1.3,32.0,96.0,1.0,335.0,121.0,0.2,0.9,0.0,2.0,4.0,0.33,0.04,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0592
DP033,Gulai pakis,-,-,Sayuran,Olahan (Processed),-,76.1,143.0,4.0,11.4,6.0,1.4,2.6,548.0,124.0,1.7,29.0,201.0,0.2,0.7,11.0,2.0,9.0,0.35,0.1,0.8,1.0,Kurang,Kurang,Lebih,Kurang,0.1966
DP034,Gulai pliek,-,Aceh,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari nangka muda, daun melinjo, buah melinjo, jantung pisang, kacang panjang. Direbus dengan santan.",71.9,176.0,7.3,14.9,3.2,1.4,2.7,39.0,54.0,1.4,257.0,285.0,0.3,0.6,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0852
GP067,"Gulai tiram, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,73.1,132.0,9.0,7.2,7.8,1.4,2.9,53.0,134.0,3.7,285.0,133.0,1.1,0.7,389.0,2.0,4.0,0.29,0.12,0.8,0.0,Kurang,Kurang,Kurang,Cukup,0.0882
GP068,"Gurame asem manis, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,63.1,192.0,12.7,10.1,12.7,0.0,2.4,283.0,169.0,1.1,29.0,201.0,0.2,0.7,19.0,2.0,1.0,0.1,0.1,0.8,0.0,Kurang,Cukup,Cukup,Kurang,0.1698
BP030,Gurandil,-,Bandung,Umbi Berpati,Olahan (Processed),"Bahan dasar terdiri dari  tepung tapioka dan parutan kelapa. Berbentuk lonjong kecil atau bulat kecil warna-warni, ditaburi gula pasir. Diolah dengan cara direbus",47.5,218.0,0.5,2.5,48.5,3.1,1.0,50.0,25.0,2.8,29.0,201.0,0.2,0.7,0.0,2.0,0.0,0.19,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0805
FP005,Ham,-,-,Daging,Olahan (Processed),-,42.0,384.0,16.9,35.0,0.3,0.0,5.8,10.0,136.0,2.5,112.0,819.3,0.11,0.4,0.0,2.0,4.0,0.7,0.95,9.7,0.0,Kurang,Cukup,Kurang,Kurang,0.1711
JP002,Hangop,-,Belanda,Susu,Olahan (Processed),Sejenis yoghurt,84.0,65.0,10.0,1.0,3.5,0.0,1.5,180.0,190.0,0.2,126.0,374.4,0.0,0.7,0.0,22.0,4.0,0.03,0.43,0.2,0.0,Kurang,Cukup,Kurang,Kurang,0.0964
BR011,"Hofa/Ubi hutan, segar",-,-,Umbi Berpati,Mentah (Raw),-,67.9,127.0,1.2,0.5,29.5,3.4,0.9,30.0,8.0,0.7,3.0,4.0,0.1,0.2,0.0,0.0,0.0,0.3,0.05,0.6,0.0,Kurang,Kurang,Kurang,Kurang,0.0468
GP069,"Ikan asar merah, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,69.2,146.0,17.7,5.9,5.6,1.4,1.6,100.0,240.0,4.0,170.0,310.0,0.3,1.4,224.0,0.0,4.0,0.1,0.1,0.8,0.0,Kurang,Cukup,Kurang,Cukup,0.1342
GP004,"Ikan asin, kering",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,40.0,193.0,42.0,1.5,0.0,0.0,16.5,200.0,300.0,0.0,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.01,0.1,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.2445
GR004,"Ikan bader, segar (Silver barb, fresh)",Barbonymus gonionotus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,66.0,193.0,19.0,13.0,0.0,0.0,2.0,48.0,150.0,0.4,118.0,264.9,0.1,0.2,45.0,0.0,4.0,0.01,0.1,4.1,0.0,Kurang,Lebih,Kurang,Kurang,0.129
GR005,"Ikan balong, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,76.5,107.0,16.5,3.9,1.5,0.0,1.5,54.0,202.0,2.0,86.0,253.4,0.5,1.0,25.0,0.0,0.0,0.05,0.1,2.5,0.0,Kurang,Cukup,Kurang,Kurang,0.1023
GR006,"Ikan bambangan, segar (Humphead Snapper, fresh)",Lutjanus sanguineus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,73.7,112.0,20.0,1.3,3.7,0.0,1.3,98.0,120.0,3.0,148.0,258.7,0.0,0.1,0.0,0.0,0.0,0.07,0.0,0.3,0.0,Kurang,Lebih,Kurang,Kurang,0.1294
GP005,"Ikan bandeng presto, masakan",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,45.3,296.0,17.1,20.3,11.3,0.0,6.0,1.0,659.0,1.9,29.0,201.0,0.2,0.7,6.0,0.0,400.0,0.14,0.1,0.8,69.0,Kurang,Cukup,Kurang,Kurang,0.1433
GR007,"Ikan bandeng, segar (Milkfish, raw)",Chanos chanos,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,74.0,123.0,20.0,4.8,0.0,0.0,1.2,20.0,150.0,2.0,67.0,271.1,0.0,0.9,45.0,21.0,4.0,0.05,0.1,6.0,0.0,Kurang,Lebih,Kurang,Kurang,0.1098
GR008,"Ikan banjar, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,73.5,111.0,19.4,0.9,4.8,0.0,1.4,68.0,278.0,7.3,99.0,338.7,0.2,0.6,0.0,62.0,0.0,0.03,0.2,7.3,0.0,Kurang,Lebih,Kurang,Lebih,0.1305
GR009,"Ikan baronang, segar (Golden-lined spinefoot, fresh)",Siganus lineatus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,80.0,78.0,14.5,0.6,3.7,0.0,1.2,26.0,521.0,3.8,26.0,692.0,4.7,4.1,732.0,0.0,4.0,0.2,0.04,3.0,0.0,Kurang,Cukup,Kurang,Cukup,0.0849
GR010,"Ikan batung, segar (Indonesian-Shortfin Eel)",Anguilla bicolor,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,75.7,115.0,14.5,4.6,4.2,0.0,1.1,55.0,207.0,0.0,42.0,361.0,0.2,0.9,0.0,0.0,4.0,1.2,0.04,1.1,0.0,Kurang,Cukup,Kurang,Kurang,0.0929
GP006,"Ikan baung bakar (Asian river catfish, fresh)",Hemibagrus nemurus,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,69.8,144.0,17.8,5.8,5.2,1.4,1.4,18.0,169.0,0.0,168.0,236.0,0.1,0.7,0.0,2.0,4.0,0.0,0.0,1.3,0.0,Kurang,Cukup,Kurang,Kurang,0.1026
GR011,"Ikan baung, segar (Asian river catfish, fresh)",Hemibagrus nemurus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,74.9,123.0,15.1,5.5,3.3,0.0,1.2,5.0,146.0,1.3,32.0,349.0,0.1,0.7,0.0,0.0,4.0,0.2,0.03,1.2,0.0,Kurang,Cukup,Kurang,Kurang,0.0876
GR012,"Ikan bawal, segar (Silver Pomfret, fresh)",Pampus argenteus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,78.0,91.0,19.0,1.7,0.0,0.0,1.3,20.0,150.0,2.0,129.0,233.3,0.1,0.3,45.0,0.0,4.0,0.05,0.1,1.8,0.0,Kurang,Lebih,Kurang,Kurang,0.0975
GP007,"Ikan Belida bakar (Indonesian featherback, fresh)",Chitala borneensis,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,68.2,128.0,18.0,3.0,7.2,0.0,3.6,58.0,134.0,0.0,293.0,198.0,0.1,0.4,0.0,0.0,4.0,1.8,0.17,1.5,0.0,Kurang,Cukup,Kurang,Kurang,0.109
GR013,"Ikan Belida, segar (Indonesian featherback, fresh)",Chitala hypselonotus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,79.2,80.0,14.7,1.4,2.2,0.0,2.3,303.0,315.0,1.3,41.0,356.0,0.0,0.8,0.0,0.0,4.0,1.2,0.14,1.4,0.0,Kurang,Cukup,Cukup,Kurang,0.1509
GR014,"Ikan beunteur, segar (Spotted Barb, fresh)",Barbodes binotatus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,70.0,109.0,17.0,4.0,0.0,0.0,9.0,500.0,500.0,1.0,109.0,323.5,0.6,1.3,45.0,2.0,4.0,0.05,0.1,2.6,0.0,Kurang,Cukup,Cukup,Kurang,0.2166
GR015,"Ikan biawan, segar (Kissing goorami, fresh)",Helostoma temmincki,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,79.1,90.0,14.9,2.5,2.1,0.0,1.4,125.0,265.0,1.0,35.0,207.0,0.4,0.6,0.0,2.0,4.0,0.36,0.03,2.9,0.0,Kurang,Cukup,Kurang,Kurang,0.1078
GR016,"Ikan bili, segar (Minnows, fresh)",Mystacoleucus padangensis,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,68.3,88.0,14.2,0.7,6.2,0.0,10.6,27.0,1.0,1.5,217.0,202.0,0.0,4.1,0.0,0.0,4.0,0.72,0.09,2.7,0.0,Kurang,Cukup,Kurang,Kurang,0.081
GR017,"Ikan bubara, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,75.5,100.0,14.7,2.4,4.9,1.4,1.6,90.0,90.0,0.4,390.0,390.0,0.7,0.8,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.0994
GR018,"Ikan bulan-bulan, segar (Indo-Pacifik Tarpon, fresh)",Megalops cyprinoides,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,66.7,134.0,25.5,1.3,5.0,1.4,1.5,29.0,29.0,0.5,197.0,489.0,0.1,0.5,0.0,2.0,4.0,0.3,0.02,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.1298
GP008,"Ikan cakalang asap, mentah (Skipjack tuna, fish,smoked, raw)",Katsuwonus pelamys,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,56.9,204.0,34.2,5.6,1.9,1.4,1.4,14.0,399.0,1.3,176.0,588.0,0.3,0.7,1.0,2.0,4.0,0.53,0.07,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.1769
GP009,"Ikan cakalang asin, mentah (Skipjack tuna,fish, salted, raw)",Katsuwonus plelamys,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,41.7,198.0,36.5,2.2,5.5,0.0,14.1,236.0,346.0,3.7,4.0,302.1,0.2,0.7,0.0,2.0,0.0,0.06,0.1,0.8,0.0,Kurang,Lebih,Kurang,Cukup,0.2462
GR020,"Ikan cakalang, hati, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,73.4,120.0,11.3,3.9,10.0,1.4,1.4,30.0,30.0,0.9,420.0,280.0,1.6,4.3,0.0,2.0,4.0,0.1,0.1,0.2,0.0,Kurang,Cukup,Kurang,Kurang,0.0794
GR021,"Ikan cakalang, jantung, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,76.3,116.0,11.2,1.2,10.2,1.4,1.1,10.0,40.0,3.4,360.0,250.0,0.5,1.9,908.0,2.0,4.0,0.1,0.1,0.1,0.0,Kurang,Cukup,Kurang,Kurang,0.0793
GR022,"Ikan cakalang, perut, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,79.1,86.0,10.2,1.1,8.7,1.4,0.9,20.0,110.0,2.1,230.0,210.0,0.3,9.3,0.0,2.0,4.0,0.24,0.1,0.3,0.0,Kurang,Cukup,Kurang,Kurang,0.0667
GR019,"Ikan cakalang, segar (Scipjack tuna, fresh)",Katsuwonus pelamis,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,73.0,107.0,19.6,0.7,5.5,0.0,1.2,23.0,242.0,2.9,66.0,239.0,0.2,0.6,386.0,0.0,4.0,0.17,0.05,21.7,0.0,Kurang,Lebih,Kurang,Kurang,0.1071
GP010,"Ikan calo/ peda, mentah",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,71.3,81.0,11.4,1.9,3.8,0.0,11.6,743.0,174.0,22.6,29.0,201.0,0.2,0.7,15.0,2.0,0.0,0.0,0.1,0.8,0.0,Kurang,Cukup,Lebih,Lebih,0.3085
GR023,"Ikan daun, segar (Leaffish, fresh)",Nandus mercatus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,78.6,101.0,11.5,4.1,4.6,0.0,1.2,80.0,210.0,0.8,120.0,270.0,0.1,0.9,0.0,2.0,4.0,0.08,0.07,0.1,0.0,Kurang,Cukup,Kurang,Kurang,0.0874
GR024,"Ikan ekor kuning, segar (Yellowtail, fish, fresh)",Caesio spp.,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,74.1,108.0,22.3,1.2,2.1,0.0,0.3,30.0,220.0,0.5,50.0,230.0,0.1,0.6,40.0,29.0,4.0,0.0,0.1,0.2,0.0,Kurang,Lebih,Kurang,Kurang,0.112
GP011,"Ikan Gabus asap, mentah (Asian snakehead, fish, smoked)",Channa striata,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,26.4,261.0,38.1,2.3,21.9,0.0,11.3,2.0,1.0,2.9,320.0,410.0,0.4,0.8,114.0,2.0,4.0,0.1,0.1,14.5,0.0,Kurang,Lebih,Kurang,Kurang,0.207
GP012,"Ikan Gabus, kering (Asian snakehead, fish, dried)",Channa striata,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,24.0,268.0,58.0,4.0,0.0,0.0,14.0,15.0,100.0,0.1,29.0,201.0,0.2,0.7,30.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.272
GR025,"Ikan gabus, segar (Asian snakehead, fresh)",Channa striata,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,79.6,80.0,16.2,0.5,2.6,0.0,1.1,170.0,139.0,0.1,65.0,254.0,0.3,0.4,335.0,2.0,4.0,0.4,0.2,0.1,0.0,Kurang,Cukup,Kurang,Kurang,0.1186
GP013,"Ikan gete, goreng",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,44.7,267.0,23.1,19.4,0.2,1.4,12.6,2.0,1.0,0.8,590.0,440.0,0.1,1.9,0.0,2.0,4.0,0.1,0.1,0.2,0.0,Kurang,Lebih,Kurang,Kurang,0.1527
GR026,"Ikan heu, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,75.6,81.0,10.0,1.6,6.6,1.4,6.2,1.0,990.0,2.1,240.0,210.0,0.1,2.7,0.0,2.0,4.0,0.87,0.1,0.2,0.0,Kurang,Cukup,Kurang,Kurang,0.0598
GR027,"Ikan hitam, segar (Black Sharkminnow, fresh)",Labeo chrysophekadion,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,78.2,101.0,10.3,3.7,6.7,0.0,1.1,50.0,140.0,0.4,70.0,210.0,0.2,0.4,67.0,2.0,4.0,0.0,0.1,0.1,0.0,Kurang,Cukup,Kurang,Kurang,0.0746
GP014,"Ikan hiu, kering (Shark, fish, dried)",Carcharinus falciformis,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,23.1,298.0,46.3,3.6,20.2,1.4,6.8,335.0,846.0,2.5,957.0,1.0,0.5,2.0,661.0,2.0,4.0,0.84,0.11,22.5,0.0,Kurang,Lebih,Cukup,Kurang,0.3295
GR028,"Ikan hiu, segar (Fish, shark, fresh)",Carcharhinus spp.,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,85.7,57.0,10.7,0.3,2.2,0.0,1.1,75.0,206.0,2.0,29.0,201.0,0.02,0.7,0.0,2.0,0.0,0.05,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.0742
GR029,"Ikan kacangan, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,80.7,77.0,15.6,0.9,1.6,0.0,1.2,94.0,170.0,1.7,29.0,201.0,0.2,0.7,18.0,2.0,0.0,0.07,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.1004
GR030,"Ikan kakap, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,77.0,92.0,20.0,0.7,0.0,0.0,2.3,20.0,200.0,1.0,29.0,201.0,0.2,0.7,9.0,2.0,4.0,0.05,0.1,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.0985
GR031,"Ikan kakatua, segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,79.7,82.0,11.4,1.2,6.4,1.4,1.3,20.0,160.0,0.4,90.0,300.0,0.1,0.3,18.0,2.0,4.0,0.1,0.1,0.2,0.0,Kurang,Cukup,Kurang,Kurang,0.0652
GR032,"Ikan kalaban, segar (Minnows, fresh)",Osteochilus melanopleura,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,80.3,77.0,16.4,0.7,1.3,0.0,1.3,182.0,248.0,0.9,40.0,334.0,0.7,0.8,0.0,2.0,4.0,0.16,0.15,1.9,0.0,Kurang,Cukup,Kurang,Kurang,0.1236
GR033,"Ikan kamera (kakap merah), segar",-,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,78.5,86.0,19.7,0.8,0.0,0.0,1.3,50.0,170.0,0.3,90.0,290.0,0.3,0.1,26.0,2.0,4.0,0.1,0.08,0.1,0.0,Kurang,Lebih,Kurang,Kurang,0.1017
GR034,"Ikan kapar, segar (Malay Combtail, fresh)",Belontia hasselti,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,74.2,132.0,17.0,6.7,0.8,0.0,1.3,151.0,272.0,1.2,78.0,229.0,0.9,0.7,0.0,2.0,4.0,0.07,0.03,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.1338
GP015,"Ikan katombo, asin (Pargy, fish, salted)",Lethrinus spp.,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,44.7,162.0,31.7,2.8,0.3,0.0,15.5,279.0,609.0,4.6,4.0,342.2,2.8,0.7,0.0,2.0,0.0,0.09,0.1,0.8,0.0,Kurang,Lebih,Cukup,Cukup,0.2334
GR035,"Ikan kawalinya, segar (Indian mackerel, fresh)",Rastrelliger kanagurta,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,76.1,110.0,12.6,4.2,5.4,1.4,1.7,80.0,300.0,1.5,340.0,300.0,0.2,1.4,146.0,2.0,4.0,0.1,0.1,0.2,0.0,Kurang,Cukup,Kurang,Kurang,0.0954
GP016,"Ikan kayu, kering",-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,23.1,302.0,70.7,1.9,0.4,0.0,3.9,313.0,22.0,4.1,345.0,1.0,0.2,1.8,0.0,2.0,4.0,1.4,0.04,20.0,0.0,Kurang,Lebih,Cukup,Cukup,0.4112
GR036,"Ikan keru-keru, segar (Puffers, fresh)",Pao leiurus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,77.2,93.0,16.5,2.1,0.8,0.0,3.4,65.0,217.0,2.4,137.0,255.3,0.34,0.7,0.0,2.0,0.0,0.01,0.09,1.6,0.0,Kurang,Cukup,Kurang,Kurang,0.1022
GR037,"Ikan kima, segar (Clam, shell, fresh)",Tridacna�spp,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,82.1,70.0,10.8,0.7,5.2,1.4,1.2,53.0,72.0,2.0,342.0,101.0,0.5,0.5,401.0,2.0,4.0,0.22,0.05,5.8,0.0,Kurang,Cukup,Kurang,Kurang,0.0725
GP017,Ikan Lais bakar,-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,69.4,147.0,17.5,6.5,5.4,1.4,1.2,54.0,194.0,0.1,142.0,209.0,0.2,0.5,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.1119
GR038,"Ikan lais, segar (Sheatfish, fresh)",Kryptopterus spp.,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,65.0,161.0,11.9,11.5,2.4,0.0,9.2,70.0,237.0,0.0,29.0,201.0,0.2,0.7,0.0,2.0,0.0,0.05,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.1008
GR039,"Ikan layang, segar (Indian scad, fresh)",Decapterus russelli,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,74.0,109.0,22.0,1.7,0.0,0.0,2.3,50.0,150.0,2.0,29.0,201.0,0.2,0.7,45.0,0.0,4.0,0.05,0.1,0.8,0.0,Kurang,Lebih,Kurang,Kurang,0.1203
GR040,"Ikan layur, segar (Hairtail, fresh)",Tichiurus leptorus,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,80.1,82.0,18.0,1.0,0.4,0.0,0.5,48.0,229.0,2.2,29.0,201.0,0.2,0.7,4.0,2.0,0.0,0.04,0.1,0.8,0.0,Kurang,Cukup,Kurang,Kurang,0.0993
GR041,"Ikan lehoma, segar (Indian mackerel, fresh)",Rastrelliger kanagurta,-,Ikan/Kerang/Udang dll,Mentah (Raw),-,77.6,90.0,20.4,0.9,0.0,1.4,1.1,88.0,270.0,0.7,56.0,281.0,0.3,0.9,1.0,2.0,4.0,0.32,0.03,0.2,0.0,Kurang,Lebih,Kurang,Kurang,0.116
